feedback_id,clause,sentiment,sentiment_confidence
289,billing had a small discrepancy which could be improved,neutral,0.7188
290,from browsing to delivery,neutral,0.84
290,the experience was better than expected,positive,0.9811
290,everything worked fine and needs some improvement,positive,0.783
291,customer support was frustrating,negative,0.9218
291,the return pickup was delayed,negative,0.5779
291,not a major concern,neutral,0.6826
292,the delivery experience turned out to be worse than expected,negative,0.9247
292,support eventually resolved the issue,neutral,0.6597
292,not a major concern,neutral,0.6826
293,From my experience,neutral,0.7509
293,billing and payment were average,negative,0.5647
293,and refund processing was slower than promised,negative,0.852
294,billing and payment were slightly disappointing,negative,0.8894
294,and tracking updates were not regular,neutral,0.693
295,the checkout process seemed slow at times,negative,0.7531
295,coupon application did not work properly,negative,0.8587
296,the experience was worse than expected,negative,0.9332
296,and refund processing was slower than promised,negative,0.852
297,customer support was better than expected,positive,0.9678
297,payment failed once before succeeding,neutral,0.5795
298,i found the buying process to be mostly fine,positive,0.6349
298,customer care took time to respond,neutral,0.7581
299,the checkout process seemed slightly disappointing,negative,0.8693
299,and the final billed amount differed slightly,neutral,0.8341
300,billing and payment were quite good,positive,0.9162
300,and the app lagged during checkout,negative,0.8398
301,the ordering experience felt slightly disappointing,negative,0.8973
301,support eventually resolved the issue,neutral,0.6597
302,i found the buying process to be pleasant,positive,0.9076
302,and tracking updates were not regular and needs some improvement,negative,0.5728
303,my interaction with customer care was average,negative,0.8322
303,the delivery was delayed by a couple of days,negative,0.7335
304,from browsing to delivery,neutral,0.84
304,the experience was worse than expected,negative,0.9332
304,everything worked fine,positive,0.7039
305,the checkout process seemed frustrating,negative,0.8704
305,billing had a small discrepancy,neutral,0.8311
306,i found the buying process to be mostly fine,positive,0.6349
306,everything worked fine,positive,0.7039
307,from browsing to delivery,neutral,0.84
307,the experience was slightly disappointing,negative,0.8861
307,the delivery was delayed by a couple of days,negative,0.7335
308,From my experience,neutral,0.7509
308,from browsing to delivery,neutral,0.84
308,the experience was a bit confusing,negative,0.6813
308,the delivery was delayed by a couple of days which could be improved,negative,0.7154
309,the ordering experience felt decent,positive,0.9093
309,customer care took time to respond,neutral,0.7581
310,I thought very nice experiecne worth repeat purchase,positive,0.9722
311,i found the buying process to be quite good,positive,0.9384
311,everything worked fine which could be improved,positive,0.8023
312,the experience was slightly disappointing,negative,0.8861
312,customer care took time to respond,neutral,0.7581
313,billing and payment were not very impressive,negative,0.8618
313,and the app lagged during checkout,negative,0.8398
314,customer support was satisfactory,positive,0.9291
314,the invoice was not easy to access which could be improved,negative,0.8182
315,from browsing to delivery,neutral,0.84
315,the experience was slightly disappointing,negative,0.8861
315,everything worked fine,positive,0.7039
315,not a major concern,neutral,0.6826
316,the checkout process seemed average,negative,0.7465
316,the return pickup was delayed,negative,0.5779
317,billing and payment were mostly fine,positive,0.5629
317,the delivery was delayed by a couple of days,negative,0.7335
318,i found the buying process to be pleasant,positive,0.9076
318,communication from support could be better,neutral,0.521
319,from browsing to delivery,neutral,0.84
319,the experience was not very impressive,negative,0.881
319,and the final billed amount differed slightly,neutral,0.8341
320,my interaction with customer care was slow at times,negative,0.8312
320,the return pickup was delayed which slightly affected my experience,negative,0.8206
321,billing and payment were mostly fine,positive,0.5629
321,payment failed once before succeeding,neutral,0.5795
322,using the app was fairly efficient,positive,0.8246
322,and the app lagged during checkout,negative,0.8398
323,the delivery experience turned out to be a bit confusing,negative,0.7174
323,customer care took time to respond,neutral,0.7581
324,the experience was smooth,positive,0.9286
324,and tracking updates were not regular which slightly affected my experience,negative,0.7504
325,from browsing to delivery,neutral,0.84
325,the experience was slightly disappointing,negative,0.8861
325,and refund processing was slower than promised,negative,0.852
326,using the app was slow at times,negative,0.6987
326,and tracking updates were not regular,neutral,0.693
326,not a major concern,neutral,0.6826
327,the delivery experience turned out to be average,negative,0.859
327,coupon application did not work properly,negative,0.8587
328,Probbaly I will be buying more stuff,positive,0.501
328,looks good to me,positive,0.9337
329,using the app was average,negative,0.7631
329,communication from support could be better,neutral,0.521
330,billing and payment were pleasant,positive,0.9066
330,everything worked fine which could be improved,positive,0.8023
331,from browsing to delivery,neutral,0.84
331,the experience was inconsistent,negative,0.8575
331,the invoice was not easy to access and needs some improvement,negative,0.8864
332,using the app was a bit confusing,neutral,0.505
332,billing had a small discrepancy which could be improved,neutral,0.7188
333,customer support was decent,positive,0.8701
333,and the app lagged during checkout,negative,0.8398
334,the checkout process seemed better than expected,positive,0.9376
334,billing had a small discrepancy,neutral,0.8311
334,not a major concern,neutral,0.6826
335,i found the buying process to be quite good,positive,0.9384
335,and refund processing was slower than promised,negative,0.852
335,not a major concern,neutral,0.6826
336,i found the buying process to be smooth,positive,0.6252
336,everything worked fine,positive,0.7039
337,billing and payment were mostly fine,positive,0.5629
337,the delivery was delayed by a couple of days which could be improved,negative,0.7154
338,the ordering experience felt slightly disappointing,negative,0.8973
338,and the final billed amount differed slightly and needs some improvement,neutral,0.595
339,my interaction with customer care was pleasant,positive,0.9485
339,everything worked fine,positive,0.7039
340,the checkout process seemed average,negative,0.7465
340,the invoice was not easy to access,negative,0.828
341,The process was smooth and fast,positive,0.8926
342,i found the buying process to be mostly fine,positive,0.6349
342,the invoice was not easy to access,negative,0.828
343,From my experience,neutral,0.7509
343,billing and payment were inconsistent,negative,0.736
343,everything worked fine,positive,0.7039
344,the checkout process seemed mostly fine,positive,0.7489
344,and the app lagged during checkout,negative,0.8398
345,my interaction with customer care was inconsistent,negative,0.8301
345,and the app lagged during checkout,negative,0.8398
345,not a major concern,neutral,0.6826
346,From my experience,neutral,0.7509
346,the delivery experience turned out to be pleasant,positive,0.9631
346,the delivery was delayed by a couple of days,negative,0.7335
346,not a major concern,neutral,0.6826
347,the delivery experience turned out to be worse than expected,negative,0.9247
347,and tracking updates were not regular which slightly affected my experience,negative,0.7504
348,using the app was not very impressive,negative,0.8712
348,and refund processing was slower than promised,negative,0.852
349,the ordering experience felt slightly disappointing,negative,0.8973
349,billing had a small discrepancy,neutral,0.8311
350,the delivery experience turned out to be inconsistent,negative,0.8114
350,payment failed once before succeeding,neutral,0.5795
351,i found the buying process ly efficient,positive,0.69
351,and the app lagged during checkout which could be improved,negative,0.8118
352,the delivery experience turned out to be decent,positive,0.9252
352,and the app froze briefly during checkout,negative,0.6335
353,the checkout process seemed inconsistent,negative,0.7649
353,everything worked fine,positive,0.7039
353,not a major concern,neutral,0.6826
354,using the app was average,negative,0.7631
354,and the final billed amount differed slightly,neutral,0.8341
355,From my experience,neutral,0.7509
355,my interaction with customer care was inconsistent,negative,0.8301
355,and the final billed amount differed slightly,neutral,0.8341
356,from browsing to delivery,neutral,0.84
356,the experience was not very impressive,negative,0.881
356,the invoice was not easy to access,negative,0.828
357,billing and payment were quite good,positive,0.9162
357,the return pickup was delayed,negative,0.5779
358,from browsing to delivery,neutral,0.84
358,the experience was smooth,positive,0.9286
358,and refund processing was slower than promised,negative,0.852
359,the ordering experience felt average,negative,0.8621
359,and refund processing was slower than promised,negative,0.852
360,the delivery experience turned out to be pleasant,positive,0.9631
360,and the final billed amount differed slightly,neutral,0.8341
361,from browsing to delivery,neutral,0.84
361,the experience was satisfactory,positive,0.9494
361,the delivery was delayed by a couple of days,negative,0.7335
362,from browsing to delivery,neutral,0.84
362,the experience was inconsistent,negative,0.8575
362,the delivery was delayed by a couple of days,negative,0.7335
363,the ordering experience felt decent,positive,0.9093
363,and the app froze briefly during checkout which slightly affected my experience,negative,0.8183
364,billing and payment were frustrating,negative,0.8702
364,the return pickup was delayed,negative,0.5779
364,not a major concern,neutral,0.6826
365,the checkout process seemed better than expected,positive,0.9376
365,the return pickup was delayed,negative,0.5779
366,billing and payment were quite good,positive,0.9162
366,the delivery was delayed by a couple of days which could be improved,negative,0.7154
367,i found the buying process to be worse than expected,negative,0.9242
367,coupon application did not work properly,negative,0.8587
367,not a major concern,neutral,0.6826
368,customer support was fairly efficient,positive,0.8737
368,coupon application did not work properly,negative,0.8587
369,the checkout process seemed frustrating,negative,0.8704
369,the return pickup was delayed,negative,0.5779
370,From my experience,neutral,0.7509
370,i found the buying process to be quite good,positive,0.9384
370,everything worked fine and needs some improvement,positive,0.783
371,my interaction with customer care was not very impressive,negative,0.8848
371,coupon application did not work properly,negative,0.8587
372,The buying experience felt smooth,positive,0.9025
372,no unnecessary steps or confusion,neutral,0.5558
373,customer support was inconsistent,negative,0.8775
373,payment failed once before succeeding which slightly affected my experience,negative,0.7393
374,using the app was worse than expected,negative,0.9319
374,and the app lagged during checkout which could be improved,negative,0.8118
375,billing and payment were satisfactory,positive,0.8478
375,and the app lagged during checkout which could be improved,negative,0.8118
376,the delivery experience turned out to be inconsistent,negative,0.8114
376,and tracking updates were not regular and needs some improvement,negative,0.5728
377,customer support was slightly disappointing,negative,0.9093
377,payment failed once before succeeding,neutral,0.5795
377,not a major concern,neutral,0.6826
378,the experience was better than expected,positive,0.9811
378,support eventually resolved the issue,neutral,0.6597
379,my interaction with customer care was quite good,positive,0.9599
379,billing had a small discrepancy which could be improved,neutral,0.7188
380,the experience was smooth,positive,0.9286
380,customer care took time to respond,neutral,0.7581
380,not a major concern,neutral,0.6826
381,the experience was mostly fine,positive,0.896
381,billing had a small discrepancy,neutral,0.8311
382,From my experience,neutral,0.7509
382,i found the buying process to be quite good,positive,0.9384
382,customer care took time to respond,neutral,0.7581
383,billing and payment were pleasant,positive,0.9066
383,coupon application did not work properly,negative,0.8587
384,From my experience,neutral,0.7509
384,the ordering experience felt not very impressive,negative,0.8736
384,the delivery was delayed by a couple of days which slightly affected my experience,negative,0.852
385,from browsing to delivery,neutral,0.84
385,the experience was smooth,positive,0.9286
385,coupon application did not work properly,negative,0.8587
386,i found the buying process to be mostly fine,positive,0.6349
386,billing had a small discrepancy,neutral,0.8311
387,customer support was slightly disappointing,negative,0.9093
387,and the app froze briefly during checkout,negative,0.6335
388,the delivery experience turned out to be decent,positive,0.9252
388,everything worked fine,positive,0.7039
389,using the app was a bit confusing,neutral,0.505
389,the invoice was not easy to access,negative,0.828
390,the delivery experience turned out to be not very impressive,negative,0.8797
390,the invoice was not easy to access which slightly affected my experience,negative,0.8552
391,billing and payment were pleasant,positive,0.9066
391,everything worked fine,positive,0.7039
392,customer support was inconsistent,negative,0.8775
392,billing had a small discrepancy which slightly affected my experience,negative,0.7122
393,billing and payment were not very impressive,negative,0.8618
393,the delivery was delayed by a couple of days,negative,0.7335
394,customer support was mostly fine,positive,0.7734
394,coupon application did not work properly which slightly affected my experience,negative,0.873
395,i found the buying process to be quite good,positive,0.9384
395,and tracking updates were not regular,neutral,0.693
396,the checkout process seemed fairly efficient,positive,0.8837
396,and tracking updates were not regular,neutral,0.693
396,not a major concern,neutral,0.6826
397,billing and payment were average,negative,0.5647
397,billing had a small discrepancy,neutral,0.8311
398,customer support was a bit confusing,negative,0.7998
398,communication from support could be better,neutral,0.521
398,not a major concern,neutral,0.6826
399,From my experience,neutral,0.7509
399,my interaction with customer care was worse than expected,negative,0.9391
399,communication from support could be better,neutral,0.521
400,using the app was smooth,positive,0.686
400,billing had a small discrepancy,neutral,0.8311
400,not a major concern,neutral,0.6826
401,billing and payment were fairly efficient,positive,0.721
401,payment failed once before succeeding which slightly affected my experience,negative,0.7393
402,customer support was a bit confusing,negative,0.7998
402,communication from support could be better which slightly affected my experience,negative,0.5905
403,the experience was frustrating,negative,0.895
403,everything worked fine,positive,0.7039
404,customer support was slightly disappointing,negative,0.9093
404,and tracking updates were not regular,neutral,0.693
405,using the app was inconsistent,negative,0.7601
405,and the final billed amount differed slightly and needs some improvement,neutral,0.595
406,the checkout process seemed satisfactory,positive,0.8768
406,and the final billed amount differed slightly,neutral,0.8341
407,the experience was inconsistent,negative,0.8575
407,coupon application did not work properly,negative,0.8587
408,well like others nothing different,neutral,0.6924
409,the experience was slightly disappointing,negative,0.8861
409,the return pickup was delayed and needs some improvement,negative,0.8213
410,from browsing to delivery,neutral,0.84
410,the experience was a bit confusing,negative,0.6813
410,and tracking updates were not regular,neutral,0.693
410,not a major concern,neutral,0.6826
411,the experience was decent,positive,0.9294
411,support eventually resolved the issue,neutral,0.6597
412,the ordering experience felt smooth,positive,0.9088
412,customer care took time to respond,neutral,0.7581
413,the ordering experience felt not very impressive,negative,0.8736
413,communication from support could be better,neutral,0.521
413,not a major concern,neutral,0.6826
414,customer support was not very impressive,negative,0.891
414,and the app lagged during checkout,negative,0.8398
415,using the app was quite good,positive,0.9668
415,everything worked fine,positive,0.7039
416,my interaction with customer care was smooth,positive,0.8227
416,the return pickup was delayed,negative,0.5779
416,not a major concern,neutral,0.6826
417,the checkout process seemed mostly fine,positive,0.7489
417,and tracking updates were not regular,neutral,0.693
417,not a major concern,neutral,0.6826
418,the ordering experience felt fairly efficient,positive,0.9422
418,customer care took time to respond,neutral,0.7581
418,not a major concern,neutral,0.6826
419,From my experience,neutral,0.7509
419,using the app was fairly efficient,positive,0.8246
419,the invoice was not easy to access which slightly affected my experience,negative,0.8552
420,the experience was fairly efficient,positive,0.9463
420,the delivery was delayed by a couple of days which could be improved,negative,0.7154
421,the delivery experience turned out to be satisfactory,positive,0.9322
421,customer care took time to respond,neutral,0.7581
422,the checkout process seemed average,negative,0.7465
422,payment failed once before succeeding which slightly affected my experience,negative,0.7393
423,using the app was smooth,positive,0.686
423,payment failed once before succeeding,neutral,0.5795
424,customer support was worse than expected,negative,0.9323
424,coupon application did not work properly,negative,0.8587
424,not a major concern,neutral,0.6826
425,my interaction with customer care was frustrating,negative,0.9052
425,and the final billed amount differed slightly,neutral,0.8341
426,the ordering experience felt slow at times,negative,0.8322
426,coupon application did not work properly,negative,0.8587
427,customer support was slow at times,negative,0.8624
427,payment failed once before succeeding,neutral,0.5795
428,my interaction with customer care was fairly efficient,positive,0.8965
428,billing had a small discrepancy,neutral,0.8311
429,customer support was satisfactory,positive,0.9291
429,communication from support could be better,neutral,0.521
430,billing and payment were inconsistent,negative,0.736
430,communication from support could be better,neutral,0.521
431,the ordering experience felt fairly efficient,positive,0.9422
431,and refund processing was slower than promised,negative,0.852
431,not a major concern,neutral,0.6826
432,i found the buying process to be slightly disappointing,negative,0.8862
432,the return pickup was delayed,negative,0.5779
433,From my experience,neutral,0.7509
433,the checkout process seemed quite good,positive,0.939
433,the invoice was not easy to access which could be improved,negative,0.8182
434,the checkout process seemed satisfactory,positive,0.8768
434,the return pickup was delayed,negative,0.5779
435,from browsing to delivery,neutral,0.84
435,the experience was better than expected,positive,0.9811
435,coupon application did not work properly,negative,0.8587
436,the experience was better than expected,positive,0.9811
436,communication from support could be better which could be improved,positive,0.6907
437,billing and payment were frustrating,negative,0.8702
437,communication from support could be better,neutral,0.521
437,not a major concern,neutral,0.6826
438,i found the buying process to be better than expected,positive,0.9373
438,billing had a small discrepancy,neutral,0.8311
439,the delivery experience turned out to be frustrating,negative,0.8708
439,and the app froze briefly during checkout which slightly affected my experience,negative,0.8183
440,i found the buying process to be slightly disappointing,negative,0.8862
440,and the final billed amount differed slightly and needs some improvement,neutral,0.595
441,From my experience,neutral,0.7509
441,billing and payment were smooth,positive,0.7625
441,and tracking updates were not regular,neutral,0.693
441,not a major concern,neutral,0.6826
442,the checkout process seemed satisfactory,positive,0.8768
442,billing had a small discrepancy,neutral,0.8311
443,they do too much telecalling and marketing,negative,0.646
444,customer support was mostly fine,positive,0.7734
444,payment failed once before succeeding,neutral,0.5795
445,i found the buying process to be satisfactory,positive,0.8375
445,payment failed once before succeeding,neutral,0.5795
446,from browsing to delivery,neutral,0.84
446,the experience was satisfactory,positive,0.9494
446,and the final billed amount differed slightly,neutral,0.8341
447,From my experience,neutral,0.7509
447,from browsing to delivery,neutral,0.84
447,the experience was smooth,positive,0.9286
447,and the app froze briefly during checkout,negative,0.6335
447,not a major concern,neutral,0.6826
448,using the app was not very impressive,negative,0.8712
448,the delivery was delayed by a couple of days,negative,0.7335
449,the ordering experience felt average,negative,0.8621
449,and the app lagged during checkout,negative,0.8398
450,using the app was pleasant,positive,0.9449
450,and refund processing was slower than promised,negative,0.852
451,the checkout process seemed satisfactory,positive,0.8768
451,the delivery was delayed by a couple of days,negative,0.7335
451,not a major concern,neutral,0.6826
452,billing and payment were inconsistent,negative,0.736
452,customer care took time to respond,neutral,0.7581
453,From my experience,neutral,0.7509
453,billing and payment were mostly fine,positive,0.5629
453,everything worked fine,positive,0.7039
454,From my experience,neutral,0.7509
454,my interaction with customer care was fairly efficient,positive,0.8965
454,everything worked fine and needs some improvement,positive,0.783
455,the ordering experience felt slightly disappointing,negative,0.8973
455,the invoice was not easy to access,negative,0.828
456,i found the buying process to be quite good,positive,0.9384
456,payment failed once before succeeding which could be improved,negative,0.4881
457,the delivery experience turned out to be smooth,positive,0.9114
457,and refund processing was slower than promised,negative,0.852
458,the delivery experience turned out to be satisfactory,positive,0.9322
458,and the final billed amount differed slightly,neutral,0.8341
459,the experience was fairly efficient,positive,0.9463
459,and the app lagged during checkout,negative,0.8398
460,billing and payment were quite good,positive,0.9162
460,and refund processing was slower than promised which slightly affected my experience,negative,0.8799
461,billing and payment were worse than expected,negative,0.9263
461,the delivery was delayed by a couple of days,negative,0.7335
461,not a major concern,neutral,0.6826
462,customer support was pleasant,positive,0.9551
462,and the app froze briefly during checkout,negative,0.6335
463,customer support was frustrating,negative,0.9218
463,support eventually resolved the issue which slightly affected my experience,neutral,0.6756
464,i found the buying process to be satisfactory,positive,0.8375
464,and the app lagged during checkout,negative,0.8398
465,customer support was quite good,positive,0.9558
465,everything worked fine,positive,0.7039
465,not a major concern,neutral,0.6826
466,the ordering experience felt mostly fine,positive,0.8739
466,and tracking updates were not regular,neutral,0.693
467,the ordering experience felt inconsistent,negative,0.8297
467,the return pickup was delayed,negative,0.5779
468,from browsing to delivery,neutral,0.84
468,the experience was smooth,positive,0.9286
468,and tracking updates were not regular,neutral,0.693
469,i found the buying process to be inconsistent,negative,0.7412
469,and refund processing was slower than promised,negative,0.852
470,my interaction with customer care was fairly efficient,positive,0.8965
470,communication from support could be better,neutral,0.521
470,not a major concern,neutral,0.6826
471,customer support was quite good,positive,0.9558
471,everything worked fine which slightly affected my experience,neutral,0.5434
472,using the app was inconsistent,negative,0.7601
472,support eventually resolved the issue,neutral,0.6597
473,the checkout process seemed better than expected,positive,0.9376
473,support eventually resolved the issue which could be improved,neutral,0.5016
474,billing and payment were average,negative,0.5647
474,everything worked fine,positive,0.7039
475,customer support was better than expected,positive,0.9678
475,and the app lagged during checkout which could be improved,negative,0.8118
476,the experience was fairly efficient,positive,0.9463
476,and the final billed amount differed slightly,neutral,0.8341
477,the ordering experience felt smooth,positive,0.9088
477,and refund processing was slower than promised,negative,0.852
478,the delivery experience turned out to be decent,positive,0.9252
478,customer care took time to respond,neutral,0.7581
479,the experience was quite good,positive,0.9747
479,payment failed once before succeeding,neutral,0.5795
480,the checkout process seemed a bit confusing,negative,0.6168
480,and the app froze briefly during checkout,negative,0.6335
481,i found the buying process to be pleasant,positive,0.9076
481,and the app lagged during checkout,negative,0.8398
482,Product met expectations and the entire process was hassle free,positive,0.9533
483,the ordering experience felt better than expected,positive,0.9736
483,and the app froze briefly during checkout,negative,0.6335
484,the ordering experience felt frustrating,negative,0.8998
484,support eventually resolved the issue,neutral,0.6597
485,my interaction with customer care was mostly fine,positive,0.7532
485,and refund processing was slower than promised,negative,0.852
485,not a major concern,neutral,0.6826
486,billing and payment were not very impressive,negative,0.8618
486,and the app lagged during checkout which slightly affected my experience,negative,0.8631
487,from browsing to delivery,neutral,0.84
487,the experience was smooth,positive,0.9286
487,the delivery was delayed by a couple of days and needs some improvement,negative,0.8341
488,i found the buying process to be pleasant,positive,0.9076
488,everything worked fine,positive,0.7039
489,customer support was better than expected,positive,0.9678
489,and tracking updates were not regular,neutral,0.693
490,i found the buying process to be pleasant,positive,0.9076
490,billing had a small discrepancy which slightly affected my experience,negative,0.7122
491,the checkout process seemed fairly efficient,positive,0.8837
491,the invoice was not easy to access,negative,0.828
492,customer support was quite good,positive,0.9558
492,support eventually resolved the issue which slightly affected my experience,neutral,0.6756
493,the delivery experience turned out to be inconsistent,negative,0.8114
493,communication from support could be better,neutral,0.521
494,customer support was smooth,positive,0.8344
494,communication from support could be better,neutral,0.521
495,the experience was smooth,positive,0.9286
495,and the app froze briefly during checkout and needs some improvement,negative,0.7869
496,using the app was pleasant,positive,0.9449
496,billing had a small discrepancy which slightly affected my experience,negative,0.7122
497,my interaction with customer care was slightly disappointing,negative,0.9025
497,billing had a small discrepancy,neutral,0.8311
498,i found the buying process to be average,negative,0.6802
498,and the app froze briefly during checkout,negative,0.6335
499,the delivery experience turned out to be worse than expected,negative,0.9247
499,billing had a small discrepancy,neutral,0.8311
500,the ordering experience felt worse than expected,negative,0.9332
500,everything worked fine which could be improved,positive,0.8023
501,From my experience,neutral,0.7509
501,using the app was average,negative,0.7631
501,coupon application did not work properly,negative,0.8587
502,customer support was decent,positive,0.8701
502,coupon application did not work properly,negative,0.8587
503,From my experience,neutral,0.7509
503,the checkout process seemed worse than expected,negative,0.9172
503,customer care took time to respond which could be improved,negative,0.5184
504,billing and payment were average,negative,0.5647
504,and the app lagged during checkout,negative,0.8398
505,one of the better web app,positive,0.9707
506,i found the buying process to be slightly disappointing,negative,0.8862
506,the delivery was delayed by a couple of days,negative,0.7335
507,i found the buying process to be satisfactory,positive,0.8375
507,and tracking updates were not regular,neutral,0.693
508,i found the buying process to be mostly fine,positive,0.6349
508,the delivery was delayed by a couple of days,negative,0.7335
508,not a major concern,neutral,0.6826
509,the experience was fairly efficient,positive,0.9463
509,and refund processing was slower than promised,negative,0.852
510,From my experience,neutral,0.7509
510,the checkout process seemed not very impressive,negative,0.839
510,everything worked fine,positive,0.7039
511,the checkout process seemed inconsistent,negative,0.7649
511,customer care took time to respond and needs some improvement,neutral,0.5303
512,the ordering experience felt pleasant,positive,0.9632
512,customer care took time to respond and needs some improvement,neutral,0.5303
513,Delivery timing was accurate,positive,0.8222
513,came on the promised date without delay,neutral,0.7651
514,From my experience,neutral,0.7509
514,customer support was slow at times,negative,0.8624
514,customer care took time to respond,neutral,0.7581
515,From my experience,neutral,0.7509
515,using the app was decent,positive,0.8401
515,the delivery was delayed by a couple of days which slightly affected my experience,negative,0.852
516,billing and payment were worse than expected,negative,0.9263
516,and refund processing was slower than promised which slightly affected my experience,negative,0.8799
517,the experience was satisfactory,positive,0.9494
517,the return pickup was delayed which could be improved,negative,0.5467
518,my interaction with customer care was quite good,positive,0.9599
518,the delivery was delayed by a couple of days,negative,0.7335
519,the experience was mostly fine,positive,0.896
519,billing had a small discrepancy which slightly affected my experience,negative,0.7122
520,from browsing to delivery,neutral,0.84
520,the experience was smooth,positive,0.9286
520,and tracking updates were not regular,neutral,0.693
521,From my experience,neutral,0.7509
521,from browsing to delivery,neutral,0.84
521,the experience was inconsistent,negative,0.8575
521,everything worked fine,positive,0.7039
522,from browsing to delivery,neutral,0.84
522,the experience was decent,positive,0.9294
522,and the final billed amount differed slightly,neutral,0.8341
523,customer support was quite good,positive,0.9558
523,and the final billed amount differed slightly,neutral,0.8341
524,my interaction with customer care was decent,positive,0.8777
524,the invoice was not easy to access and needs some improvement,negative,0.8864
525,the ordering experience felt a bit confusing,negative,0.6626
525,and refund processing was slower than promised,negative,0.852
526,from browsing to delivery,neutral,0.84
526,the experience was mostly fine,positive,0.896
526,payment failed once before succeeding,neutral,0.5795
527,billing and payment were quite good,positive,0.9162
527,everything worked fine,positive,0.7039
527,not a major concern,neutral,0.6826
528,the ordering experience felt pleasant,positive,0.9632
528,and the app lagged during checkout,negative,0.8398
529,the checkout process seemed not very impressive,negative,0.839
529,the delivery was delayed by a couple of days,negative,0.7335
530,the experience was quite good,positive,0.9747
530,billing had a small discrepancy,neutral,0.8311
531,from browsing to delivery,neutral,0.84
531,the experience was frustrating,negative,0.895
531,and the app lagged during checkout which could be improved,negative,0.8118
532,from browsing to delivery,neutral,0.84
532,the experience was a bit confusing,negative,0.6813
532,the invoice was not easy to access which could be improved,negative,0.8182
533,the experience was mostly fine,positive,0.896
533,the delivery was delayed by a couple of days,negative,0.7335
534,From my experience,neutral,0.7509
534,from browsing to delivery,neutral,0.84
534,the experience was fairly efficient,positive,0.9463
534,billing had a small discrepancy,neutral,0.8311
535,billing and payment were mostly fine,positive,0.5629
535,billing had a small discrepancy which could be improved,neutral,0.7188
536,the experience was worse than expected,negative,0.9332
536,support eventually resolved the issue,neutral,0.6597
537,From my experience,neutral,0.7509
537,the delivery experience turned out to be better than expected,positive,0.9801
537,the invoice was not easy to access which slightly affected my experience,negative,0.8552
538,From my experience,neutral,0.7509
538,my interaction with customer care was smooth,positive,0.8227
538,communication from support could be better,neutral,0.521
539,my interaction with customer care was pleasant,positive,0.9485
539,and the app lagged during checkout,negative,0.8398
539,not a major concern,neutral,0.6826
540,customer support was smooth,positive,0.8344
540,communication from support could be better,neutral,0.521
540,not a major concern,neutral,0.6826
541,the checkout process seemed average,negative,0.7465
541,and tracking updates were not regular,neutral,0.693
542,customer support was better than expected,positive,0.9678
542,and refund processing was slower than promised and needs some improvement,negative,0.851
543,From my experience,neutral,0.7509
543,from browsing to delivery,neutral,0.84
543,the experience was pleasant,positive,0.9663
543,customer care took time to respond which slightly affected my experience,negative,0.7476
544,customer support was pleasant,positive,0.9551
544,payment failed once before succeeding and needs some improvement,negative,0.5932
545,my interaction with customer care was smooth,positive,0.8227
545,coupon application did not work properly,negative,0.8587
546,i found the buying process to be slow at times,negative,0.73
546,everything worked fine,positive,0.7039
547,the experience was satisfactory,positive,0.9494
547,and the app lagged during checkout,negative,0.8398
548,Customer support responded faster than expected and solved the issue in one go,positive,0.8269
549,using the app was slow at times,negative,0.6987
549,and the app froze briefly during checkout,negative,0.6335
550,i found the buying process to be smooth,positive,0.6252
550,support eventually resolved the issue which slightly affected my experience,neutral,0.6756
551,billing and payment were inconsistent,negative,0.736
551,and the app froze briefly during checkout,negative,0.6335
552,the delivery experience turned out to be slightly disappointing,negative,0.8781
552,and refund processing was slower than promised and needs some improvement,negative,0.851
553,the ordering experience felt not very impressive,negative,0.8736
553,coupon application did not work properly,negative,0.8587
554,billing and payment were inconsistent,negative,0.736
554,payment failed once before succeeding and needs some improvement,negative,0.5932
555,the delivery experience turned out to be worse than expected,negative,0.9247
555,support eventually resolved the issue,neutral,0.6597
556,the experience was average,negative,0.8643
556,billing had a small discrepancy,neutral,0.8311
557,from browsing to delivery,neutral,0.84
557,the experience was decent,positive,0.9294
557,and tracking updates were not regular which could be improved,neutral,0.5808
558,my interaction with customer care was worse than expected,negative,0.9391
558,billing had a small discrepancy,neutral,0.8311
559,my interaction with customer care was better than expected,positive,0.9604
559,and tracking updates were not regular,neutral,0.693
560,my interaction with customer care was smooth,positive,0.8227
560,communication from support could be better and needs some improvement,neutral,0.5949
561,my interaction with customer care was quite good,positive,0.9599
561,payment failed once before succeeding,neutral,0.5795
561,not a major concern,neutral,0.6826
562,the ordering experience felt satisfactory,positive,0.9461
562,the invoice was not easy to access,negative,0.828
563,using the app was slow at times,negative,0.6987
563,the return pickup was delayed,negative,0.5779
564,the experience was pleasant,positive,0.9663
564,and the app froze briefly during checkout,negative,0.6335
565,the checkout process seemed smooth,positive,0.7016
565,and the final billed amount differed slightly,neutral,0.8341
566,billing and payment were smooth,positive,0.7625
566,and the final billed amount differed slightly which slightly affected my experience,negative,0.6564
567,the delivery experience turned out to be better than expected,positive,0.9801
567,customer care took time to respond,neutral,0.7581
568,i found the buying process to be better than expected,positive,0.9373
568,support eventually resolved the issue,neutral,0.6597
569,the ordering experience felt slightly disappointing,negative,0.8973
569,billing had a small discrepancy,neutral,0.8311
570,Website is attractive,positive,0.7894
570,I think its good option,positive,0.8579
571,customer support was fairly efficient,positive,0.8737
